OID,STATEFP10,COUNTYFP10,MPOCE10,TADCE10,TAZCE10,GEOID10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,Shape__Are,Shape__Len,ID,sourceCoun,ENRICH_FID,aggregatio,population,apportionm,HasData,TOTPOP_CY
-1,36,047,36198201,00002007,00025901,3604700025901,G6320,S,80237.000000000000000,0.000000000000000,+40.6949675,-073.9462240,0.000008550000000,0.014428700000000,4,US,55,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2375.000000000000000
-1,36,047,36198201,00002012,00000501,3604700000501,G6320,S,83724.000000000000000,0.000000000000000,+40.6958143,-073.9947007,0.000008920000000,0.014434900000000,5,US,56,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,4492.000000000000000
-1,36,047,36198201,00002023,00051601,3604700051601,G6320,S,116043.000000000000000,0.000000000000000,+40.6386247,-073.9567096,0.000012350000000,0.014521420000000,6,US,57,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,5997.000000000000000
-1,36,047,36198201,00002039,00036001,3604700036001,G6320,S,94995.000000000000000,0.000000000000000,+40.5757857,-073.9655587,0.000010100000000,0.014688770000000,7,US,58,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3317.000000000000000
-1,36,047,36198201,00002045,00111000,3604700111000,G6320,S,123227.000000000000000,0.000000000000000,+40.6605446,-073.8813458,0.000013120000000,0.014701550000000,8,US,59,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3306.000000000000000
-1,36,061,36198201,00001023,00022102,3606100022102,G6320,S,99000.000000000000000,0.000000000000000,+40.8186544,-073.9461862,0.000010570000000,0.014845600000000,9,US,60,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2204.000000000000000
-1,36,047,36198201,00002044,00101600,3604700101600,G6320,S,112418.000000000000000,0.000000000000000,+40.6433030,-073.8881409,0.000011970000000,0.014857090000000,10,US,61,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,1436.000000000000000
-1,36,047,36198201,00002047,00118201,3604700118201,G6320,S,126387.000000000000000,0.000000000000000,+40.6879085,-073.8718976,0.000013460000000,0.014865210000000,11,US,62,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3207.000000000000000
-1,36,047,36198201,00002012,00000502,3604700000502,G6320,S,96812.000000000000000,0.000000000000000,+40.6951345,-073.9928612,0.000010310000000,0.014867870000000,12,US,63,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2610.000000000000000
-1,36,047,36198201,00002029,00003000,3604700003000,G6320,S,111959.000000000000000,0.000000000000000,+40.6389020,-074.0289543,0.000011920000000,0.014870980000000,13,US,64,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,1853.000000000000000
-1,36,047,36198201,00002020,00079801,3604700079801,G6320,S,129680.000000000000000,0.000000000000000,+40.6600109,-073.9587186,0.000013810000000,0.014879760000000,14,US,65,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3084.000000000000000
-1,36,047,36198201,00002044,00098400,3604700098400,G6320,S,112821.000000000000000,0.000000000000000,+40.6465779,-073.8917896,0.000012010000000,0.014893710000000,15,US,66,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,1862.000000000000000
-1,36,047,36198201,00002047,00118202,3604700118202,G6320,S,124325.000000000000000,0.000000000000000,+40.6886646,-073.8690021,0.000013240000000,0.014933570000000,16,US,67,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3273.000000000000000
-1,36,047,36198201,00002021,00083400,3604700083400,G6320,S,125994.000000000000000,0.000000000000000,+40.6415499,-073.9384751,0.000013410000000,0.015087320000000,17,US,68,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,1834.000000000000000
-1,36,047,36198201,00002031,00018600,3604700018600,G6320,S,113058.000000000000000,0.000000000000000,+40.6156439,-074.0051063,0.000012030000000,0.015128180000000,18,US,69,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,2262.000000000000000
-1,36,047,36198201,00002027,00009200,3604700009200,G6320,S,113217.000000000000000,0.000000000000000,+40.6453168,-073.9993384,0.000012050000000,0.015133120000000,19,US,70,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,6045.000000000000000
-1,36,061,36198201,00001023,00021400,3606100021400,G6320,S,136902.000000000000000,0.000000000000000,+40.8177989,-073.9361841,0.000014610000000,0.015140090000000,20,US,71,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3022.000000000000000
-1,36,047,36198201,00002027,00008600,3604700008600,G6320,S,113543.000000000000000,0.000000000000000,+40.6479769,-074.0037438,0.000012090000000,0.015152990000000,21,US,72,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,0.000000000000000
-1,36,061,36198201,00001026,00028100,3606100028100,G6320,S,93095.000000000000000,0.000000000000000,+40.8570766,-073.9345044,0.000009940000000,0.015155070000000,22,US,73,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3001.000000000000000
-1,36,047,36198201,00002029,00003600,3604700003600,G6320,S,125291.000000000000000,0.000000000000000,+40.6346861,-074.0308979,0.000013340000000,0.015285100000000,23,US,74,BlockApportionment:US.BlockGroups,2.191000000000000,2.576000000000000,1,3899.000000000000000
