OID,License_Se,License_Ty,License_Cl,License__1,Agency_Zon,Agency_Z_1,County_Nam,Premises_N,Doing_Busi,Actual_Add,Additional,City,State,Zip,License_Ce,License_Or,License_Ef,License_Ex,Latitude,Longitude,Location,serial_a2b
-1,1296589,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,"BROOKLYN FIREFLY INC, THE",,7003 3RD AVE,,BROOKLYN,NY,11209,897978,,10/5/2018 0:00:00,9/30/2020 0:00:00,40.634670000000000,-74.026309999999995,"(40.63467, -74.02631)",24925
-1,1296590,ON-PREMISES LIQUOR,252,OP,New York City,1,RICHMOND,PAGE CAFE INC,FUSHIMI @PAGE,17 PAGE AVE,,STATEN ISLAND,NY,10309,895235,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.523949999999999,-74.234449999999995,"(40.52395, -74.23445)",24926
-1,1296603,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,COBBLESTONE FOODS LLC,COBBLESTONE,220 ATLANTIC AVE,,BROOKLYN,NY,11201,863037,,2/12/2018 0:00:00,1/31/2020 0:00:00,40.689369999999997,-73.991879999999995,"(40.68937, -73.99188)",24932
-1,1296608,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,FUNFEST LLC,,6161 STRICKLAND AVE,,BROOKLYN,NY,11234,898541,,12/1/2018 0:00:00,11/30/2020 0:00:00,40.612830000000002,-73.912530000000004,"(40.61283, -73.91253)",24934
-1,1296618,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,GHRF LLC,THE BLACK DERBY,310 W 4TH ST,,NEW YORK,NY,10014,895253,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.737279999999998,-74.003910000000005,"(40.73728, -74.00391)",24936
-1,1296630,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,4946 BROADWAY RESTAURANT LLC,TUBBY HOOK TAVERN,4946 BROADWAY,,NEW YORK,NY,10034,897974,,11/1/2018 0:00:00,10/31/2020 0:00:00,40.867730000000002,-73.920929999999998,"(40.86773, -73.92093)",24938
-1,1296677,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,TACODUMBO LLC,,117 ADAMS ST,UNIT 102,BROOKLYN,NY,11201,898589,,10/11/2018 0:00:00,9/30/2020 0:00:00,40.700360000000003,-73.988579999999999,"(40.70036, -73.98858)",24953
-1,1296685,ON-PREMISES LIQUOR,252,OP,New York City,1,RICHMOND,CHIPOTLE MEXICAN GRILL OF COLORADO LLC,CHIPOTLE MEXICAN GRILL #2308,2602 HYLAN BLVD,,STATEN ISLAND,NY,10306,861553,,3/10/2017 0:00:00,2/28/2019 0:00:00,40.568950000000001,-74.111120000000000,"(40.56895, -74.11112)",24957
-1,1296686,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,CAMELOT CASTLE LLC,OSCAR WILDE,45 W 27TH ST,,NEW YORK,NY,10001,862051,,7/11/2017 0:00:00,6/30/2019 0:00:00,40.745139999999999,-73.990039999999993,"(40.74514, -73.99004)",24958
-1,1296696,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,GFCREST INC,PESCE PASTA TRATT.,625 COLUMBUS AVE,STORE #2,NEW YORK,NY,10024,841188,,12/6/2016 0:00:00,11/30/2018 0:00:00,40.789230000000003,-73.969849999999994,"(40.78923, -73.96985)",24961
-1,1296727,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,28 WEST 44TH RESTAURANT LLC,SEN SAKANA,28 W 44TH ST,,NEW YORK,NY,10036,862053,,7/11/2017 0:00:00,6/30/2019 0:00:00,40.755330000000001,-73.981499999999997,"(40.75533, -73.9815)",24971
-1,1296728,ON-PREMISES LIQUOR,252,OP,New York City,1,QUEENS,MERRICK BLVD BBQ RESTAURANT & CATERING INC,SMOKE BBQ PIT,129-21 MERRICK BLVD,,JAMAICA,NY,11434,895487,,11/1/2018 0:00:00,10/31/2020 0:00:00,40.680750000000003,-73.763379999999998,"(40.68075, -73.76338)",24972
-1,1296738,ON-PREMISES LIQUOR,252,OP,New York City,1,RICHMOND,2945 BAR CORP,XCESS GENTLEMEN'S CLUB,2945 ARTHUR KILL RD,,STATEN ISLAND,NY,10309,894664,,10/1/2018 0:00:00,9/30/2020 0:00:00,40.546889999999998,-74.229360000000000,"(40.54689, -74.22936)",24976
-1,1296747,ON-PREMISES LIQUOR,252,OP,New York City,1,QUEENS,SORANPUB LLC,BUKOWSKI'S,69-47 GRAND AVE,,MASPETH,NY,11378,861567,,3/16/2017 0:00:00,2/28/2019 0:00:00,40.726900000000001,-73.893979999999999,"(40.7269, -73.89398)",24980
-1,1296768,ON-PREMISES LIQUOR,252,OP,New York City,1,NEW YORK,SISTINA RESTAURANT INC,,24 E 81ST ST,,NEW YORK,NY,10028,875505,,7/1/2017 0:00:00,6/30/2019 0:00:00,40.777700000000003,-73.961609999999993,"(40.7777, -73.96161)",24986
-1,1296771,ON-PREMISES LIQUOR,252,OP,New York City,1,BRONX,579 GIO INC,GIOVANNI,579 GRAND CONCOURSE,,BRONX,NY,10451,841148,,11/29/2016 0:00:00,10/31/2018 0:00:00,40.819409999999998,-73.927139999999994,"(40.81941, -73.92714)",24988
-1,1296776,ON-PREMISES LIQUOR,252,OP,New York City,1,KINGS,SOUTH OF HEAVEN LLC,DIAMOND LIL,179 NASSAU AVE,,BROOKLYN,NY,11222,861843,,5/18/2017 0:00:00,4/30/2019 0:00:00,40.725439999999999,-73.946089999999998,"(40.72544, -73.94609)",24990
